iso3,country,year,excess_deaths,iso_code,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,population,excess_deaths_per_million
AFG,Afghanistan,2021.0,38779.40896120325,AFG,9.13,0.0,404.0,41091584.15841584,943.7311740453052
AGO,Angola,2021.0,10442.44570230445,AGO,11.04,0.0,1653.0,35597096.188747734,293.3510544493602
ALB,Albania,2021.0,9086.141038353097,ALB,36.28,5.07,2076.0,2842485.549132948,3196.5478386071904
AND,Andorra,2021.0,94.41652849061552,AND,64.37,10.98,8141.0,79842.77115833435,1182.53070529554
ARE,United Arab Emirates,2021.0,2250.482796840769,ARE,95.96,36.61,2864.0,9442388.268156424,238.33830307850323
ARG,Argentina,2021.0,90818.92284554042,ARG,67.63,13.59,6191.0,45510095.299628496,1995.577514123153
ARM,Armenia,2021.0,9916.10038241775,ARM,24.89,0.02,2406.0,2780548.6284289276,3566.23879224172
ATG,Antigua and Barbuda,2021.0,-8.778414713119037,ATG,62.77,0.0,683.0,93704.24597364568,-93.68214451656722
AUS,Australia,2021.0,4570.856082989014,AUS,75.47,9.09,2920.0,26177397.260273974,174.610792568198
AUT,Austria,2021.0,7886.080914212831,AUT,70.64,44.66,3747.0,8940752.602081666,882.0377059059573
AZE,Azerbaijan,2021.0,21581.58688441929,AZE,45.15,14.48,2331.0,10357786.357786357,2083.609966351117
BDI,Burundi,2021.0,3258.4434876879614,BDI,0.03,0.0,3.0,13666666.666666666,238.42269422107034
BEL,Belgium,2021.0,3794.3646214846244,BEL,75.75,37.65,3948.0,11657294.832826748,325.4927215874953
BEN,Benin,2021.0,3765.8360782886857,BEN,9.88,0.0,1533.0,13350293.542074366,282.07889709843425
BFA,Burkina Faso,2021.0,8028.475201215155,BFA,2.86,0.0,473.0,22659619.450317122,354.30759191778026
BGD,Bangladesh,2021.0,96326.95172551596,BGD,23.8,0.0,4847.0,171189808.12873942,562.6909263960122
BGR,Bulgaria,2021.0,42715.42278756877,BGR,28.24,4.06,995.0,6781909.547738694,6298.435932666112
BHR,Bahrain,2021.0,1045.7243478868875,BHR,80.01,57.4,5794.0,1472212.633759061,710.3079568178928
BHS,Bahamas,2021.0,930.8310664575935,BHS,35.94,1.7,1507.0,410086.2641008626,2269.842098950798
BIH,Bosnia and Herzegovina,2021.0,12764.31582975425,BIH,22.29,0.7,1334.0,3234632.683658171,3946.1407455138287
BLR,Belarus,2021.0,26130.20202277489,BLR,33.86,1.2,7069.0,9534304.710708728,2740.6510296892448
BLZ,Belize,2021.0,363.9188622574511,BLZ,49.13,0.0,834.0,405275.7793764988,897.9536423748942
BOL,Bolivia (Plurinational State of),2021.0,47020.76958693618,BOL,37.58,4.48,3376.0,12224822.274881516,3846.3356382325737
BRA,Brazil,2021.0,467480.12421739125,BRA,66.62,12.34,1769.0,215267947.99321648,2171.6197351968185
BRB,Barbados,2021.0,53.101056735177636,BRB,51.01,0.0,664.0,281626.5060240964,188.55134584041684
BRN,Brunei Darussalam,2021.0,55.87283494220763,BRN,89.24,0.0,14136.0,448995.4725523486,124.43963994691147
BTN,Bhutan,2021.0,-210.46624982346776,BTN,72.22,0.0,662.0,782477.3413897281,-268.9742420523854
BWA,Botswana,2021.0,6365.648896215157,BWA,39.31,0.0,1039.0,2630413.8594802697,2420.01800335439
CAF,Central African Republic,2021.0,4421.8479726097285,CAF,6.0,0.0,645.0,5575193.798449613,793.1290162217115
CAN,Canada,2021.0,11949.188029042412,CAN,76.55,19.9,6179.0,38456546.36672601,310.7192183898573
CHE,Switzerland,2021.0,3683.9512546941123,CHE,0.0,25.2,5042.0,8740777.46925823,421.46722847604354
CHL,Chile,2021.0,23894.955730465066,CHL,84.41,56.28,6478.0,19602346.403210867,1218.984464357342
CHN,China,2021.0,23367.660034531666,CHN,84.68,8.46,8962.0,1425941307.743807,16.38753285821076
CIV,C̫te d'Ivoire,2021.0,9666.364186734738,CIV,7.68,0.0,4301.0,28157405.254591957,343.2974061116065
CMR,Cameroon,2021.0,16157.394985887982,CMR,2.36,0.0,53.0,28037735.8490566,576.2731724441878
COD,Democratic Republic of the Congo,2021.0,38259.203160200326,COD,0.12,0.0,73.0,98369863.01369864,388.93215857048096
COG,Congo,2021.0,2475.3930456564126,COG,2.28,0.0,447.0,5973154.362416107,414.4197346098938
COK,Cook Islands,2021.0,1.0537550137131055,COK,73.38,0.0,822.0,17031.6301703163,61.87047294801234
COL,Colombia,2021.0,108332.40716074008,COL,54.6,6.41,2710.0,51870110.70110701,2088.5324071311084
COM,Comoros,2021.0,427.1643149725649,COM,29.41,0.0,3098.0,836668.8185926405,510.5536449787832
CPV,Cabo Verde,2021.0,435.07016428643476,CPV,43.15,0.0,1632.0,593137.2549019608,733.5067232597742
CRI,Costa Rica,2021.0,4704.336497729888,CRI,67.66,5.91,4377.0,5181402.787297236,907.9271947865302
CUB,Cuba,2021.0,53096.883660570384,CUB,86.27,19.39,14076.0,11212347.257743677,4735.572529106217
CYP,Cyprus,2021.0,1009.2823680739816,CYP,67.84,29.94,3787.0,895959.8626881436,1126.4816763619713
CZE,Czechia,2021.0,26648.282704667392,CZE,63.48,22.99,3659.0,10495217.27247882,2539.0882354142486
DEU,Germany,2021.0,66990.7860879217,DEU,70.96,41.19,4612.0,83362966.17519514,803.6036763271385
DJI,Djibouti,2021.0,788.6022651760379,DJI,2.33,0.0,542.0,1121771.217712177,702.9974140220603
DMA,Dominica,2021.0,80.77597016648883,DMA,37.96,0.0,2089.0,72762.08712302537,1110.138168932863
DNK,Denmark,2021.0,1697.1236931570256,DNK,76.63,46.34,9870.0,5882168.186423505,288.5200897645391
DOM,Dominican Republic,2021.0,6689.009268665549,DOM,50.76,12.9,648.0,11228395.061728396,595.72265064531
DZA,Algeria,2021.0,17036.48678308002,DZA,12.49,0.06,503.0,44908548.70775348,379.35954897911597
ECU,Ecuador,2021.0,32874.783436876,ECU,70.5,6.27,2964.0,17999325.23616734,1826.445325340215
EGY,Egypt,2021.0,177262.14929956465,EGY,18.58,0.0,3824.0,111000000.0,1596.9562999960779
ESP,Spain,2021.0,32336.082836481502,ESP,79.63,28.9,1123.0,47550311.665182546,680.0393457811706
EST,Estonia,2021.0,3037.6125005944764,EST,62.42,24.98,2786.0,1326274.2282842787,2290.335162829827
